Papel;Cotação;Tipo;Data últ cot;Empresa;Min 52 sem;Setor;Max 52 sem;Subsetor;Vol $ méd (2m);Valor de mercado;Últ balanço processado;Valor da firma;Nro. Ações;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;ROIC;Div. Yield;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido
ETER3;5,90;ON;21/02/2020;ETERNIT ON;1,91;Construção e Engenharia;7,30;Materiais de Construção;5.850.250;187.467.000;30/09/2019;285.790.000;31.774.000;-2,35;-2,51;-78,93;-0,07;-3,10;13,9%;0,36;-11,7%;0,33;-15,4%;8,81;-10,6%;-0,56;-12,3%;0,0%;3.355,3%;-6,93;1,10;-4,72;-45,81;-16,3%;0,90;570.383.000;108.798.000;10.475.000;98.323.000;240.779.000;-2.375.000;127.294.000;-18.246.000;35.661.000
EUCA3;20,00;ON;21/02/2020;EUCATEX ON;6,00;Madeira e Papel;134,00;Madeira;268.876;1.852.380.000;30/09/2019;2.278.580.000;92.619.000;26,38;0,76;1,42;14,13;11,33;29,3%;1,27;11,2%;0,81;5,6%;34,64;7,1%;-6,32;7,7%;0,2%;5,4%;7,01;1,08;13,94;0,34;5,7%;0,64;2.292.340.000;445.053.000;18.858.000;426.195.000;690.011.000;1.309.060.000;398.749.000;45.355.000;19.861.000
EUCA4;7,90;PN;21/02/2020;EUCATEX PN;3,92;Madeira e Papel;8,53;Madeira;727.595;731.690.000;30/09/2019;1.157.890.000;92.619.000;10,42;0,76;0,56;14,13;4,48;29,3%;0,50;11,2%;0,32;5,6%;13,68;7,1%;-2,49;7,7%;0,6%;5,4%;3,56;1,08;7,08;0,34;5,7%;0,64;2.292.340.000;445.053.000;18.858.000;426.195.000;690.011.000;1.309.060.000;398.749.000;45.355.000;19.861.000
EVEN3;15,66;ON NM;21/02/2020;Even ON NM;5,75;Construção e Engenharia;19,21;Construção Civil;32.127.700;3.398.220.000;30/09/2019;3.970.790.000;217.000.000;-922,43;-0,02;2,04;7,69;34,64;21,4%;1,89;5,5%;0,71;1,0%;1,26;2,1%;3,74;2,5%;0,0%;-0,2%;37,71;3,42;40,47;0,83;-6,2%;0,38;4.761.200.000;1.391.260.000;818.691.000;572.567.000;3.804.870.000;1.668.040.000;357.974.000;25.211.000;16.489.000
EZTC3;51,47;ON NM;21/02/2020;EZTec ON NM;19,97;Construção e Engenharia;60,16;Construção Civil;109.853.000;11.683.700.000;30/09/2019;10.347.800.000;227.000.000;53,84;0,96;3,14;16,39;133,98;40,6%;18,25;13,6%;2,79;35,0%;5,02;2,1%;5,31;3,2%;0,2%;5,8%;108,84;9,32;118,66;0,02;-12,1%;0,15;4.183.300.000;66.242.000;1.402.120.000;-1.335.880.000;2.606.800.000;3.721.170.000;187.589.000;40.093.000;61.239.000
FESA3;29,78;ON;19/02/2020;FERBASA ON;25,51;Siderurgia e Metalurgia;33,27;Siderurgia;7.294;2.630.170.000;30/09/2019;2.877.240.000;88.320.000;10,86;2,74;1,41;21,05;17,96;22,9%;2,05;11,4%;0,94;18,9%;4,58;5,2%;-32,43;5,9%;4,1%;13,0%;9,18;3,01;19,65;0,27;10,9%;0,46;2.805.560.000;503.210.000;256.140.000;247.070.000;859.558.000;1.858.840.000;317.399.000;-2.484.000;144.599.000
FESA4;20,15;PN;21/02/2020;FERBASA PN;16,78;Siderurgia e Metalurgia;25,85;Siderurgia;6.702.770;1.779.650.000;30/09/2019;2.026.720.000;88.320.000;7,35;2,74;0,96;21,05;12,16;22,9%;1,39;11,4%;0,63;18,9%;3,10;5,2%;-21,95;5,9%;6,7%;13,0%;6,47;3,01;13,84;0,27;10,9%;0,46;2.805.560.000;503.210.000;256.140.000;247.070.000;859.558.000;1.858.840.000;317.399.000;-2.484.000;144.599.000
FHER3;3,71;ON NM;21/02/2020;Fer Heringer ON NM;1,31;Químicos;4,68;Fertilizantes e Defensivos;2.155.470;199.809.000;30/09/2019;1.226.330.000;53.857.000;-0,34;-10,86;-0,23;-16,12;-1,46;4,6%;0,16;-10,8%;0,12;-46,1%;-0,12;-8,1%;-0,12;-26,9%;0,0%;67,3%;-11,88;0,34;-8,95;-1,21;-29,0%;0,75;1.692.290.000;1.054.690.000;28.170.000;1.026.520.000;849.734.000;-868.315.000;366.874.000;1.251.000;-135.906.000
FLRY3;31,25;ON NM;21/02/2020;FLEURY ON NM;18,82;Saúde;33,50;Serviços Médico - Hospitalares, Análises e Diagnósticos;56.335.100;9.899.630.000;31/12/2019;10.651.800.000;316.788.000;31,70;0,99;5,63;5,55;17,43;30,6%;3,41;19,6%;1,94;10,8%;13,41;11,1%;-5,34;13,8%;3,2%;17,8%;11,99;1,99;18,75;0,88;11,6%;0,57;5.096.650.000;1.556.410.000;804.264.000;752.146.000;1.485.200.000;1.758.980.000;720.115.000;127.769.000;56.075.000
FRAS3;6,52;ON;21/02/2020;FRAS-LE S.A. ON;4,41;Material de Transporte;7,34;Material Rodoviário;1.843.930;1.418.530.000;30/09/2019;1.594.020.000;217.566.000;24,05;0,27;1,81;3,61;15,50;24,9%;1,05;6,8%;0,87;4,1%;3,48;5,6%;-21,05;7,0%;4,6%;7,5%;10,77;2,15;17,42;0,52;12,2%;0,83;1.630.720.000;405.893.000;230.408.000;175.485.000;761.274.000;784.832.000;333.133.000;27.955.000;13.093.000
