Papel;Cotação;Tipo;Data últ cot;Empresa;Min 52 sem;Setor;Max 52 sem;Subsetor;Vol $ méd (2m);Valor de mercado;Últ balanço processado;Valor da firma;Nro. Ações;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;ROIC;Div. Yield;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido
HBOR3;4,19;ON;21/02/2020;Helbor ON;1,16;Construção e Engenharia;4,96;Construção Civil;34.703.400;2.804.180.000;30/09/2019;4.226.770.000;669.255.000;-22,83;-0,18;3,77;1,11;-77,87;14,4%;2,27;-2,9%;0,65;-3,5%;1,63;-0,8%;-14,23;-0,9%;0,0%;-16,5%;-148,07;2,28;-117,38;2,37;-13,5%;0,29;4.320.170.000;1.759.850.000;337.260.000;1.422.590.000;3.061.420.000;743.035.000;272.818.000;-8.545.000;-20.998.000
HBTS5;12,11;PNA;21/02/2020;CIA HABITASUL PNA;9,00;Holdings Diversificadas;14,30;Holdings Diversificadas;5.924;110.609.000;30/09/2019;221.953.000;9.133.690;-1,73;-7,00;0,48;24,97;-1,24;409,6%;-27,81;2.246,5%;0,09;1.610,9%;-1,00;-7,5%;-0,13;-7,6%;0,7%;-28,0%;-2,54;0,55;-2,48;0,51;-41,0%;-0,00;1.184.620.000;117.460.000;6.116.000;111.344.000;136.527.000;228.113.000;-24.042.000;-49.984.000;-49.565.000
HETA4;10,00;PN;21/02/2020;HERCULES S/A PN;4,60;Utilidades Domésticas;11,15;Utensílios Domésticos;30.197;5.100.000;30/09/2019;329.682.000;510.000;1,18;8,49;-0,01;-751,10;7,11;100,0%;4,72;66,4%;0,53;401,1%;-0,13;7,4%;-0,01;7,5%;0,0%;-1,1%;459,81;0,02;459,81;-0,85;-16,5%;0,11;9.711.000;324.582.000;0;324.582.000;592.000;-383.060.000;268.000;219.000;3.298.000
HGTX3;23,83;ON N1;21/02/2020;CIA HERING ON N1;23,83;Tecidos, Vestuário e Calçados;35,35;Vestuário;85.775.600;3.873.190.000;30/09/2019;3.603.630.000;162.534.000;15,68;1,52;2,80;8,51;16,89;44,0%;2,47;14,6%;2,10;15,7%;4,52;12,4%;4,87;18,0%;3,4%;17,9%;11,61;3,16;15,72;0,05;-0,2%;0,85;1.843.440.000;62.320.000;331.874.000;-269.554.000;1.255.610.000;1.382.520.000;388.471.000;63.575.000;64.126.000
HOOT4;3,12;PN;21/02/2020;HOTEIS OTHON S.A. PN;1,65;Hoteis e Restaurantes;4,09;Hotelaria;124.487;57.320.600;30/09/2019;57.734.600;18.372.000;-0,91;-3,43;-0,23;-13,62;-1,94;75,9%;1,03;-53,1%;0,12;-113,2%;-0,12;-6,2%;-0,08;-6,4%;0,0%;25,1%;-3,18;0,04;-1,96;-0,01;-18,2%;0,12;476.269.000;1.517.000;1.103.000;414.000;21.363.000;-250.296.000;20.677.000;-1.828.000;-11.952.000
HYPE3;36,20;ON;21/02/2020;HYPERA ON;24,35;Comércio;39,00;Produtos Diversos;101.341.000;22.887.000.000;30/09/2019;22.032.500.000;632.238.000;18,53;1,95;2,65;13,67;37,49;65,8%;6,95;18,5%;2,11;37,5%;9,46;5,6%;14,18;6,6%;3,0%;14,3%;30,41;2,73;36,09;0,06;-0,5%;0,30;10.841.800.000;532.570.000;1.387.070.000;-854.497.000;3.813.750.000;8.641.610.000;1.009.120.000;218.952.000;267.156.000
IDNT3;3,38;ON;21/02/2020;IDEIASNET ON;2,30;Programas e Serviços;4,99;Programas e Serviços;1.063.600;55.242.700;30/09/2019;52.026.700;16.344.000;3,27;1,03;2,67;1,27;-12,77;-;-;-;0,83;0,0%;-;-6,5%;-;-;0,0%;81,6%;-12,04;-;-12,02;-;-80,4%;-;66.397.000;0;3.216.000;-3.216.000;4.933.000;20.705.000;0;2.292.000;5.705.000
IDVL3;3,49;ON N1;21/02/2020;Indusval ON N1;2,97;Financeiros;10,11;Bancos;360.148;302.928.000;30/09/2019;-;86.798.800;5,25;0,66;0,76;4,60;-;-;-;-;-;0,0%;-;0,0%;-;-;0,0%;14,5%;-;-;-;-;-;-;2.356.300.000;1.395.780.000;106.099.000;399.193.000;-5.921.000;499.000;80.411.000
IDVL4;4,35;PN N1;21/02/2020;Indusval PN N1;2,20;Financeiros;6,85;Bancos;337.837;377.575.000;30/09/2019;-;86.798.800;6,54;0,66;0,95;4,60;-;-;-;-;-;0,0%;-;0,0%;-;-;0,0%;14,5%;-;-;-;-;-;-;2.356.300.000;1.395.780.000;106.099.000;399.193.000;-5.921.000;499.000;80.411.000
IGBR3;2,85;ON;21/02/2020;GRADIENTE ON;2,04;Utilidades Domésticas;4,20;Eletrodomésticos;526.778;35.639.200;30/06/2019;955.140.000;12.505.000;-0,83;-3,43;-0,04;-68,88;-3,03;74,2%;8,40;-277,1%;0,13;-1.009,6%;-0,43;-4,4%;-0,03;-4,7%;0,0%;5,0%;-96,36;0,04;-81,23;-1,07;-18,9%;0,02;265.992.000;920.028.000;527.000;919.501.000;3.157.000;-861.333.000;0;0;0
IGTA3;55,95;ON NM;21/02/2020;IGUATEMI ON NM;35,59;Exploração de Imóveis;57,08;Exploração de Imóveis;80.898.000;9.881.440.000;31/12/2019;11.290.700.000;176.612.000;31,86;1,76;3,31;16,92;24,33;66,6%;13,10;53,8%;1,76;41,7%;11,26;7,2%;-6,64;8,7%;1,9%;10,4%;21,14;4,33;27,80;0,80;4,3%;0,13;5.628.890.000;2.378.810.000;969.584.000;1.409.230.000;1.140.810.000;2.987.730.000;211.225.000;114.434.000;110.660.000
INEP3;7,50;ON;21/02/2020;INEPAR S/A ON;7,01;Máquinas e Equipamentos;14,50;Máqs. e Equips. Industriais;102.895;60.047.100;30/09/2019;698.767.000;8.006.280;-0,14;-53,59;-0,04;-212,82;-0,20;31,1%;2,27;-1.107,2%;0,04;-1.399,6%;-0,04;-20,5%;-0,02;-22,2%;0,0%;25,2%;-2,53;0,14;-2,38;-0,38;-51,5%;0,02;1.429.640.000;639.855.000;1.135.000;638.720.000;280.702.000;-1.703.920.000;1.202.000;-58.858.000;-69.562.000
INEP4;8,01;PN;21/02/2020;INEPAR S/A PN;7,11;Máquinas e Equipamentos;15,33;Máqs. e Equips. Industriais;188.161;64.130.300;30/09/2019;702.850.000;8.006.280;-0,15;-53,59;-0,04;-212,82;-0,22;31,1%;2,42;-1.107,2%;0,04;-1.399,6%;-0,04;-20,5%;-0,02;-22,2%;0,0%;25,2%;-2,55;0,14;-2,40;-0,38;-51,5%;0,02;1.429.640.000;639.855.000;1.135.000;638.720.000;280.702.000;-1.703.920.000;1.202.000;-58.858.000;-69.562.000
IRBR3;32,52;ON NM;21/02/2020;IRBBRASIL RE ON NM;27,97;Previdência e Seguros;44,90;Seguradoras;380.424.000;30.438.700.000;31/12/2019;-;936.000.000;0,00;0,00;0,00;0,00;-;-;-;-;-;-;-;0,0%;-;-;3,0%;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0
ITSA3;13,15;ON N1;21/02/2020;ITAÚSA ON N1;11,29;Financeiros;14,72;Bancos;2.732.710;110.602.000.000;31/12/2019;111.175.000.000;8.410.810.000;10,73;1,23;2,00;6,57;591,46;25,8%;22,09;3,7%;1,64;211,0%;29,07;0,3%;-40,40;0,3%;6,6%;18,7%;121,77;2,48;594,52;0,08;1,9%;0,07;67.476.000.000;4.155.000.000;3.582.000.000;573.000.000;6.381.000.000;55.232.000.000;1.486.000.000;-1.000.000;3.450.000.000
ITSA4;12,81;PN N1;21/02/2020;ITAÚSA PN N1;10,40;Financeiros;13,90;Bancos;266.286.000;107.743.000.000;31/12/2019;108.316.000.000;8.410.810.000;10,45;1,23;1,95;6,57;576,16;25,8%;21,51;3,7%;1,60;211,0%;28,32;0,3%;-39,35;0,3%;6,8%;18,7%;118,64;2,48;579,23;0,08;1,9%;0,07;67.476.000.000;4.155.000.000;3.582.000.000;573.000.000;6.381.000.000;55.232.000.000;1.486.000.000;-1.000.000;3.450.000.000
ITUB3;29,38;ON N1;21/02/2020;ITAUUNIBANCO ON N1;25,81;Financeiros;31,61;Bancos;19.775.500;288.045.000.000;31/12/2019;-;9.804.140.000;10,78;2,72;2,18;13,49;-;-;-;-;-;0,0%;-;0,0%;-;-;6,8%;20,2%;-;-;-;-;-19,8%;-;182.347.000.000;0;0;132.244.000.000;176.239.000;0;8.260.700.000
ITUB4;32,68;PN N1;21/02/2020;ITAUUNIBANCO PN N1;29,86;Financeiros;36,99;Bancos;949.828.000;320.399.000.000;31/12/2019;-;9.804.140.000;11,99;2,72;2,42;13,49;-;-;-;-;-;0,0%;-;0,0%;-;-;6,2%;20,2%;-;-;-;-;-19,8%;-;182.347.000.000;0;0;132.244.000.000;176.239.000;0;8.260.700.000
JBDU3;3,45;ON;21/02/2020;J B DUARTE ON;2,80;Holdings Diversificadas;7,98;Holdings Diversificadas;63.886;17.315.600;30/06/2019;21.928.600;5.019.000;-1,01;-3,41;0,25;13,61;-1,56;-;-;-;0,09;0,0%;-;-5,8%;-;-;0,0%;-25,0%;-1,97;-;-1,97;-;-;-;191.312.000;4.614.000;1.000;4.613.000;7.000;68.322.000;0;-46.000;-214.000
JBDU4;2,28;PN;21/02/2020;J B DUARTE PN;1,75;Holdings Diversificadas;8,30;Holdings Diversificadas;435.047;11.443.300;30/06/2019;16.056.300;5.019.000;-0,67;-3,41;0,17;13,61;-1,03;-;-;-;0,06;0,0%;-;-5,8%;-;-;0,0%;-25,0%;-1,44;-;-1,44;-;-;-;191.312.000;4.614.000;1.000;4.613.000;7.000;68.322.000;0;-46.000;-214.000
JBSS3;25,98;ON NM;21/02/2020;JBS ON NM;13,07;Alimentos;33,20;Carnes e Derivados;381.389.000;70.892.800.000;30/09/2019;115.993.000.000;2.728.750.000;16,89;1,54;2,31;11,25;6,22;15,0%;0,36;5,9%;0,58;2,3%;5,66;9,3%;-1,37;11,4%;0,0%;13,7%;6,67;1,51;10,17;1,72;5,4%;1,59;122.405.000.000;52.913.200.000;7.813.530.000;45.099.700.000;37.049.700.000;30.703.700.000;52.184.400.000;4.219.500.000;356.715.000
JFEN3;6,71;ON;21/02/2020;JOÃO FORTES ENGENHARIA S.A. ON;1,49;Construção e Engenharia;10,81;Construção Civil;3.819.300;705.919.000;31/12/2018;1.308.920.000;105.204.000;-1,74;-3,86;2,10;3,20;-4,79;-62,8%;7,15;-149,2%;0,40;-433,1%;1,46;-8,4%;-8,75;-8,8%;0,0%;-120,9%;-8,97;1,52;-8,88;1,84;-41,8%;0,06;1.754.150.000;619.803.000;16.806.000;602.997.000;1.412.640.000;336.159.000;8.099.000;-52.198.000;-217.295.000
JHSF3;7,94;ON NM;21/02/2020;JHSF Part ON NM;2,03;Construção e Engenharia;8,95;Construção Civil;50.045.500;5.091.460.000;31/12/2019;5.760.700.000;641.242.000;15,80;0,50;1,69;4,70;30,42;48,7%;8,00;26,3%;0,87;51,3%;10,18;2,9%;-2,75;3,2%;2,1%;10,7%;29,98;2,16;34,41;0,40;2,6%;0,11;5.837.930.000;1.206.350.000;537.104.000;669.243.000;930.319.000;3.014.130.000;186.667.000;54.452.000;204.985.000
JOPA3;27,00;ON;10/02/2020;JOSAPAR S/A ON;18,51;Alimentos;30,00;Alimentos Diversos;1.200;285.714.000;30/09/2019;837.988.000;10.582.000;115,02;0,23;0,58;46,76;14,25;26,1%;0,24;1,7%;0,15;0,7%;0,46;1,1%;-31,13;1,4%;2,4%;0,5%;23,55;2,09;41,79;1,96;2,5%;0,65;1.865.970.000;970.280.000;418.006.000;552.274.000;1.185.620.000;494.790.000;323.238.000;10.110.000;813.000
JPSA3;40,68;ON;21/02/2020;JEREISSATI PARTICIPACOES ON;22,63;Telefonia Fixa;40,70;Telefonia Fixa;8.777.570;3.575.320.000;30/09/2019;5.104.860.000;87.889.000;32,40;1,26;2,35;17,29;9,30;68,0%;4,80;51,6%;0,66;33,5%;4,96;7,0%;-2,38;8,2%;1,0%;7,3%;10,08;3,94;13,28;1,49;4,2%;0,14;5.453.250.000;2.262.880.000;733.350.000;1.529.530.000;965.369.000;1.519.490.000;182.649.000;90.717.000;37.630.000
JSLG3;32,28;ON NM;21/02/2020;JULIO SIMOES ON NM;8,94;Transporte;36,34;Transporte Rodoviário;32.686.800;6.676.830.000;30/09/2019;14.967.900.000;206.841.000;34,97;0,92;5,17;6,24;6,12;21,2%;0,73;11,9%;0,33;2,8%;1,53;5,4%;-0,78;9,0%;0,6%;14,8%;7,82;1,85;13,72;11,34;11,2%;0,45;20.373.500.000;14.632.100.000;6.341.020.000;8.291.060.000;9.476.440.000;1.290.550.000;2.453.590.000;299.884.000;39.035.000
KEPL3;30,00;ON;21/02/2020;KEPLER WEBER SA ON;16,70;Máquinas e Equipamentos;30,75;Máqs. e Equips. Industriais;3.948.250;789.360.000;30/09/2019;778.086.000;26.312.000;17,46;1,72;1,73;17,35;14,07;23,4%;1,32;9,4%;1,18;7,6%;5,72;8,4%;7,56;9,8%;0,8%;9,9%;9,01;1,76;13,87;0,10;-3,9%;0,89;671.015.000;46.571.000;57.845.000;-11.274.000;318.769.000;456.590.000;149.522.000;18.084.000;15.899.000
KLBN11;21,82;UNT N2;21/02/2020;KLABIN UNT N2;13,95;Madeira e Papel;21,82;Papel e Celulose;90.315.800;23.608.400.000;31/12/2019;37.962.700.000;5.409.800.000;34,93;0,62;3,90;5,59;12,36;33,3%;2,30;18,6%;0,68;7,0%;2,23;5,5%;-1,63;8,0%;4,0%;11,2%;9,25;4,40;19,88;3,98;16,5%;0,30;34.703.100.000;24.085.300.000;9.730.910.000;14.354.400.000;13.673.900.000;6.046.880.000;2.351.460.000;393.048.000;591.261.000
KLBN3;4,36;ON N2;21/02/2020;KLABIN ON N2;3,12;Madeira e Papel;5,52;Papel e Celulose;1.080.840;23.586.700.000;31/12/2019;37.941.100.000;5.409.800.000;34,90;0,12;3,90;1,12;12,35;33,3%;2,30;18,6%;0,68;7,0%;2,23;5,5%;-1,62;8,0%;4,0%;11,2%;9,25;4,40;19,87;3,98;16,5%;0,30;34.703.100.000;24.085.300.000;9.730.910.000;14.354.400.000;13.673.900.000;6.046.880.000;2.351.460.000;393.048.000;591.261.000
KLBN4;4,34;PN N2;21/02/2020;KLABIN PN N2;2,71;Madeira e Papel;4,39;Papel e Celulose;3.936.240;23.478.500.000;31/12/2019;37.832.900.000;5.409.800.000;34,74;0,12;3,88;1,12;12,30;33,3%;2,29;18,6%;0,68;7,0%;2,22;5,5%;-1,62;8,0%;4,0%;11,2%;9,22;4,40;19,81;3,98;16,5%;0,30;34.703.100.000;24.085.300.000;9.730.910.000;14.354.400.000;13.673.900.000;6.046.880.000;2.351.460.000;393.048.000;591.261.000
LAME3;24,62;ON;21/02/2020;LOJAS AMERICANAS S.A. ON;11,79;Comércio;24,62;Produtos Diversos;41.698.000;39.905.300.000;31/12/2019;47.127.200.000;1.620.850.000;56,68;0,43;7,72;3,19;17,40;36,4%;2,11;12,1%;1,20;3,1%;4,78;6,9%;-5,72;13,8%;0,7%;13,6%;12,86;1,79;20,55;3,45;0,9%;0,57;33.269.000.000;17.828.400.000;10.606.500.000;7.221.870.000;18.908.700.000;5.167.630.000;6.754.350.000;1.136.480.000;596.637.000
LAME4;28,90;PN;21/02/2020;LOJAS AMERICANAS S.A. PN;14,45;Comércio;29,06;Produtos Diversos;156.125.000;46.842.500.000;31/12/2019;54.064.400.000;1.620.850.000;66,53;0,43;9,06;3,19;20,43;36,4%;2,47;12,1%;1,41;3,1%;5,61;6,9%;-6,71;13,8%;0,6%;13,6%;14,75;1,79;23,58;3,45;0,9%;0,57;33.269.000.000;17.828.400.000;10.606.500.000;7.221.870.000;18.908.700.000;5.167.630.000;6.754.350.000;1.136.480.000;596.637.000
LCAM3;23,77;ON NM;21/02/2020;LOCAMERICA ON NM;12,02;Diversos;25,70;Aluguel de Carros;83.061.300;12.092.500.000;30/09/2019;15.736.300.000;508.729.000;39,72;0,60;4,46;5,33;15,82;28,1%;2,73;17,2%;1,30;6,9%;106,34;8,2%;-2,72;11,4%;1,3%;11,2%;13,12;1,06;20,58;1,67;61,9%;0,48;9.309.030.000;4.537.570.000;893.776.000;3.643.790.000;2.146.740.000;2.712.690.000;1.305.830.000;203.842.000;86.468.000
LEVE3;30,09;ON;21/02/2020;MAHLE METAL LEVE ON;20,97;Material de Transporte;32,77;Material Rodoviário;9.827.340;3.860.790.000;30/09/2019;4.068.780.000;128.308.000;14,81;2,03;2,92;10,29;9,81;24,7%;1,51;15,3%;1,61;10,1%;6,80;16,4%;30,99;19,5%;7,1%;19,7%;8,40;1,88;10,34;0,31;1,9%;1,07;2.401.060.000;412.584.000;204.587.000;207.997.000;1.210.960.000;1.320.440.000;645.533.000;117.755.000;69.275.000
LIGT3;23,55;ON;21/02/2020;LIGHT SA ON;17,97;Energia Elétrica;24,51;Energia Elétrica;81.719.400;7.157.650.000;30/09/2019;14.371.500.000;303.934.000;4,01;5,88;1,04;22,74;3,78;24,9%;0,55;14,6%;0,29;13,8%;11,35;7,7%;-0,59;9,3%;0,6%;25,9%;5,81;1,13;7,58;1,34;5,2%;0,52;24.735.500.000;9.266.090.000;2.052.270.000;7.213.820.000;5.618.530.000;6.910.670.000;3.935.990.000;937.331.000;1.519.190.000
LINX3;34,30;ON NM;21/02/2020;LINX ON NM;26,86;Programas e Serviços;38,59;Programas e Serviços;48.464.000;6.496.730.000;30/09/2019;5.755.200.000;189.409.000;139,13;0,25;3,56;9,64;39,41;67,1%;8,68;22,0%;2,51;6,2%;6,09;6,4%;10,91;11,0%;0,4%;2,6%;21,15;4,68;34,91;0,18;15,2%;0,29;2.586.880.000;333.012.000;1.074.540.000;-741.526.000;1.357.200.000;1.825.340.000;196.902.000;43.822.000;-171.000
LIPR3;77,35;ON;21/02/2020;LIGHTPAR ON;52,67;Energia Elétrica;77,94;Energia Elétrica;70.185;910.023.000;30/09/2019;827.919.000;11.765.000;198,44;0,39;5,31;14,58;-86,29;-;-;-;4,11;0,0%;-;-4,8%;-;-;2,8%;2,7%;-78,72;-;-78,51;-;-;-;221.427.000;0;82.104.000;-82.104.000;84.490.000;171.511.000;0;-1.979.000;2.092.000
LIQO3;8,40;ON NM;21/02/2020;LIQ ON NM;8,40;Serviços;41,10;Serviços Diversos;198.328;197.056.000;30/09/2019;624.521.000;23.459.000;-0,68;-12,34;-15,83;-0,53;-0,88;-6,3%;0,20;-22,2%;0,13;-28,8%;-0,94;-15,0%;-0,16;-17,3%;0,0%;2.325,0%;-4,70;0,56;-2,80;-39,54;-24,7%;0,68;1.488.640.000;492.241.000;64.776.000;427.465.000;270.176.000;-12.449.000;197.510.000;-64.069.000;-91.548.000
LLIS3;16,10;ON;21/02/2020;LE LIS BLANC DEUX ON;15,02;Comércio;34,93;Tecidos, Vestuário e Calçados;3.541.350;1.108.500.000;30/09/2019;2.512.460.000;68.851.000;20,41;0,79;0,50;32,00;1.868,98;64,2%;1,10;0,1%;0,25;2,1%;39,66;0,0%;-1,04;0,0%;2,2%;2,5%;19,06;1,03;4.236,12;0,79;-1,1%;0,23;4.355.340.000;1.747.600.000;343.643.000;1.403.960.000;1.086.930.000;2.202.920.000;212.143.000;-21.909.000;-52.283.000
LOGG3;30,62;ON NM;21/02/2020;LOG COM PROP ON NM;16,63;Exploração de Imóveis;34,40;Exploração de Imóveis;13.568.100;3.128.110.000;31/12/2019;3.510.530.000;102.159.000;34,68;0,88;1,06;28,77;31,32;98,3%;24,43;78,0%;0,78;72,9%;4,22;2,5%;-19,25;2,9%;0,3%;3,1%;34,89;6,69;35,15;0,30;7,5%;0,03;3.988.730.000;889.805.000;507.388.000;382.417.000;872.038.000;2.938.960.000;34.694.000;27.050.000;38.015.000
LOGN3;22,70;ON NM;21/02/2020;Log-In ON NM;8,05;Transporte;25,70;Transporte Hidroviário;41.068.900;2.365.320.000;30/09/2019;3.560.670.000;104.199.000;182,75;0,12;-7,15;-3,17;22,04;20,2%;2,28;10,4%;1,86;1,3%;62,70;8,4%;-1,87;9,9%;0,0%;-3,9%;14,72;1,13;33,18;-3,89;-0,4%;0,81;1.274.940.000;1.286.680.000;91.339.000;1.195.350.000;337.428.000;-330.625.000;278.276.000;33.705.000;-17.197.000
LPSB3;8,16;ON NM;21/02/2020;LOPES BRASIL ON NM;3,66;Construção e Engenharia;10,27;Intermediação Imobiliária;9.219.580;1.204.050.000;30/09/2019;1.196.370.000;147.555.000;-64,46;-0,13;28,85;0,28;-347,59;79,8%;8,57;-2,5%;4,72;-16,0%;-221,33;-1,4%;-7,59;-1,5%;0,0%;-44,8%;69,66;0,91;-345,37;0,29;-14,5%;0,55;255.037.000;12.117.000;19.794.000;-7.677.000;56.162.000;41.738.000;38.345.000;9.864.000;3.667.000
LREN3;56,00;ON;21/02/2020;RENNER ON;36,81;Comércio;60,87;Tecidos, Vestuário e Calçados;250.636.000;44.551.200.000;31/12/2019;44.824.000.000;795.558.000;40,53;1,38;9,47;5,91;18,26;61,1%;4,65;25,4%;3,78;11,5%;23,60;20,7%;-103,39;26,1%;1,0%;23,4%;14,14;1,40;18,37;0,35;12,3%;0,81;11.791.700.000;1.645.030.000;1.372.300.000;272.727.000;6.656.210.000;4.704.610.000;3.178.560.000;1.030.370.000;513.098.000
LUPA3;2,62;ON NM;21/02/2020;LUPATECH ON NM;1,25;Máquinas e Equipamentos;3,07;Motores, Compressores e Outros;2.490.990;64.546.300;30/09/2019;211.937.000;24.636.000;-3,71;-0,71;0,76;3,44;-4,29;18,2%;0,56;-13,1%;0,13;-19,6%;0,54;-3,0%;-0,30;-3,2%;0,0%;-20,6%;-87,51;2,51;-14,10;1,90;-17,0%;0,23;498.233.000;160.988.000;13.597.000;147.391.000;199.415.000;84.636.000;8.096.000;-6.062.000;19.225.000
LUXM4;29,25;PN;21/02/2020;TREVISA INVESTIMENTOS SA PN;12,88;Transporte;29,25;Transporte Hidroviário;13.912;151.983.000;30/09/2019;178.007.000;5.196.000;28,80;1,02;1,32;22,20;13,15;28,7%;1,20;9,2%;0,79;4,2%;-152,44;6,0%;-2,59;6,3%;6,4%;4,6%;6,40;0,95;15,41;0,29;16,0%;0,65;192.643.000;32.975.000;6.951.000;26.024.000;18.734.000;115.330.000;33.336.000;6.160.000;5.065.000
LWSA3;24,60;ON NM;21/02/2020;LOCAWEB ON NM;20,20;Programas e Serviços;25,50;Programas e Serviços;21.012.300;3.075.420.000;30/09/2019;3.245.220.000;125.017.000;0,00;0,00;36,89;0,67;-;-;-;-;6,04;-;-41,72;0,0%;-12,30;-;0,0%;-;-;0,70;-;2,38;-;-;509.384.000;198.350.000;28.543.000;169.807.000;175.897.000;83.366.000;101.929.000;13.226.000;5.981.000
MAPT4;36,50;PN;19/02/2020;CIA MARCOPOLO PN;2,00;Outros;200,00;Outros;5.849;33.543.500;30/09/2019;33.543.500;919.000;-208,35;-0,18;-6,04;-6,04;-256,06;-;-;-;43,39;0,0%;-;-16,9%;-;-;0,0%;2,9%;-256,06;-;-256,06;-;-;-;773.000;0;0;0;0;-5.552.000;0;-21.000;-27.000
MDIA3;43,85;ON NM;21/02/2020;M.DIASBRANCO ON NM;32,00;Alimentos;47,81;Alimentos Diversos;58.071.100;14.865.100.000;30/09/2019;15.364.600.000;339.000.000;34,42;1,27;2,56;17,12;31,10;34,7%;2,48;8,0%;1,86;7,2%;12,57;6,0%;88,63;6,7%;0,6%;7,4%;21,85;2,00;32,14;0,20;6,8%;0,75;8.008.580.000;1.160.730.000;661.264.000;499.464.000;2.371.060.000;5.805.250.000;1.550.330.000;125.634.000;134.490.000
MEAL3;8,75;ON NM;21/02/2020;IMC S/A ON NM;5,98;Hoteis e Restaurantes;9,50;Restaurante e Similares;16.518.000;1.714.300.000;30/09/2019;1.865.050.000;195.920.000;213,99;0,04;1,80;4,87;39,16;31,9%;1,10;2,8%;0,80;0,5%;6,28;2,0%;-2,75;2,6%;0,1%;0,8%;15,24;1,91;42,60;0,54;0,1%;0,73;2.149.730.000;517.952.000;367.203.000;150.749.000;572.634.000;954.646.000;424.821.000;33.021.000;16.806.000
MEND5;6,50;PNA;10/01/2020;MENDES JUNIOR ENGENHARIA S/A PNA;3,05;Construção e Engenharia;36,01;Construção Pesada;1.451;67.008.500;30/09/2019;9.355.450.000;10.309.000;-0,16;-41,13;-0,01;-1.054,63;-544,79;74,1%;36,22;-6,6%;0,07;-22.921,3%;-0,05;-0,0%;-0,01;-0,0%;0,0%;3,9%;26.205,80;0,00;-76.060,60;-0,85;-20,9%;0,00;954.778.000;9.288.450.000;6.000;9.288.440.000;6.384.000;-10.872.100.000;457.000;225.000;-9.572.000
MEND6;9,50;PNB;10/01/2020;MENDES JUNIOR ENGENHARIA S/A PNB;3,80;Construção e Engenharia;30,80;Construção Pesada;2.188;97.935.500;30/09/2019;9.386.380.000;10.309.000;-0,23;-41,13;-0,01;-1.054,63;-796,22;74,1%;52,94;-6,6%;0,10;-22.921,3%;-0,07;-0,0%;-0,01;-0,0%;0,0%;3,9%;26.292,40;0,00;-76.312,00;-0,85;-20,9%;0,00;954.778.000;9.288.450.000;6.000;9.288.440.000;6.384.000;-10.872.100.000;457.000;225.000;-9.572.000
MERC4;12,28;PN;21/02/2020;MERCANTIL BRASIL PN;6,99;Financeiros;20,00;Soc. Crédito e Financiamento;9.392;221.163.000;30/09/2019;-;18.010.000;9,01;1,36;0,91;13,54;-;-;-;-;-;0,0%;-;0,0%;-;-;4,0%;10,1%;-;-;-;-;-6,8%;-;410.219.000;115.651.000;238.594.000;243.892.000;15.580.000;0;2.674.000
MGEL4;11,00;PN N1;21/02/2020;MANGELS PN N1;5,60;Siderurgia e Metalurgia;11,00;Artefatos de Ferro e Aço;354.072;63.615.300;30/09/2019;683.708.000;5.783.210;-12,64;-0,87;-0,17;-65,93;1,48;14,5%;0,12;8,1%;0,17;-2,0%;0,46;11,3%;-0,12;14,4%;0,0%;1,3%;10,84;2,68;15,94;-1,76;4,5%;1,41;378.201.000;671.749.000;51.656.000;620.093.000;222.553.000;-381.306.000;141.657.000;11.484.000;-8.792.000
MGLU3;56,45;ON NM;21/02/2020;MAGAZ LUIZA ON NM;19,94;Comércio;58,85;Eletrodomésticos;491.101.000;91.716.100.000;31/12/2019;87.811.000.000;1.624.730.000;99,49;0,57;12,12;4,66;99,55;27,9%;4,61;4,6%;4,63;4,6%;18,96;4,7%;149,13;10,1%;0,3%;12,2%;62,35;1,60;95,31;0,11;23,2%;1,00;19.791.100.000;848.829.000;4.753.900.000;-3.905.080.000;12.841.200.000;7.564.940.000;6.385.030.000;364.753.000;167.998.000
MILS3;9,70;ON NM;21/02/2020;MILLS ON NM;4,39;Construção e Engenharia;10,85;Construção Civil;13.305.000;2.443.100.000;30/09/2019;2.486.090.000;251.866.000;-144,28;-0,07;2,20;4,41;-31,84;27,1%;8,68;-27,3%;1,77;-6,0%;25,19;-5,6%;-15.761,10;-6,2%;0,0%;-1,5%;32,76;1,56;-32,40;0,14;-18,4%;0,20;1.380.830.000;152.788.000;109.800.000;42.988.000;269.371.000;1.111.300.000;129.431.000;-15.597.000;-19.434.000
